term,antonyms
доверчивый,"недоверчивый, лукавый, плутоватый, подозрительный"
довершать,начинать
доверять,не верить
довольный,недовольный
договариваться,перечить
договорный,"недоговорный, неконтрактный"
догонять,убегать
дождливо,ведрено
дождливый,"ведреный, ведренный"
дождь,ведро
дозволенный,"несправедливый, неурегулированный, запретный, запрещенный, недозволенный, неразрешенный"
дозволено,"воспрещается, нельзя"
дозволительный,"запретный, недозволенный"
дозволить,"запретить, не позволить"
дозволять,"возбранять, заказывать, запрещать"
доказанный,предположительный
доказательный,шаткий
доказательство,опровержение
доказать,опровергнуть
доказуемый,неочевидный
доказывать,опровергать
докомпьютерный,машинный
доконченный,незаконченный
долгий,"короткий, краткий, недолгий, минутный, моментальный, сжатый, мгновенный, лапидарный, кратковременный, скоропреходящий, быстротечный, скоротечный"
долго,"кратко, коротко, недолго"
долговечность,недолговечность
долговременный,"краткий, кратковременный, мимолетный, недолгий, недолговечный, непродолжительный, эфемерный"
долгожданный,неожиданный
долгосрочный,"короткий, краткий, кратковременный, краткосрочный, мгновенный, недолгий, непродолжительный"
долгота,"краткость, лаконизм, немногословность, сжатость"
должник,кредитор
должный,"несоответственный, несоответствующий"
домашний,дикий
доминирование,подчинение
доминировать,подчиняться
доминирующий,"подчиненный, периферийный"
донестись,затихнуть
дополнение,"ограничение, отсоединение, сокращение, срезание"
дополненный,обрезанный
дополнительный,"главный, основной"
дополнять,"выключать, отнимать, отсоединять"
дополняться,сужаться
допотопность,современность
допрашивать,отвечать
допускаемый,нынешний
допускать,"запрещать, отвергать, отказывать, отклонять, отрицать"
допустимый,"запретный, недопустимый, незаконный"
допустить,не позволить
допущение,запрещение
дорога,бездорожье
дорого,дёшево
дороговизна,дешевизна
дорогой,"дешевый, доступный, недорогой, умеренный, низкого качества, дешевый, низкого качества, доступный, недорогой, умеренный"
дорогостоящий,дешевый
дорожать,"дешеветь, падать в цене, снижаться в цене, упасть в цене"
досада,удовлетворение
досказанность,"недоговорка, недосказанность, умолчание"
доскональность,общность
дословность,размытость
доставать,ставить
доставить,отправить
доставлять,получать
достаток,"скудость, нищета, нужда, упадок"
достаточность,"недостаточность, непродуктивность, непроизводительность, несоответствие"
достать,"спрятать, убрать"
достигаемый,недоступный
достигать,"отходить, проигрывать, уезжать"
достигнуть,проиграть
достижение,"поражение, провал"
достижимость,недоступность
достоверность,"вероятность, недостоверность, ненадежность, неправда, ошибочность, сомнение, фальсификация"
достоинство,"недостаток, дефект, несовершенство, порок"
достойный,недостойный
достопамятный,"забываемый, малозначащий"
досточтимый,"неуважаемый, презираемый, презренный"
доступ,выход
доступность,"конфиденциальность, недоступность"
доступный,недоступный
досуг,рабочее время
досягаемый,недосягаемый
доход,"расход, нерентабельность, нехватка, отнятие, потеря, потребление, проигрыш, затрата, расходование, трата, убыль, убыток, утечки, ущерб, рассеяние"
доходить,провалиться
доходность,нерентабельность
доходный,расходный
доходчивый,трудный
драматический,"ненапряженный, удачный"
драться,"подчиняться, соглашаться, не сопротивляться, жить в мире, мириться"
драчливый,миролюбивый
древний,"новый, современный, молодой, новый"
дремать,бодрствовать
дремота,бодрствование
дробить,"интегрировать, соединять"
дробление,"объединение, слияние, совмещение, соединение"
дрожать,"стабилизироваться, находиться в состоянии покоя"
друг,"враг, недруг, соперник, недруг, враг, соперник, противник"
дружба,вражда
дружелюбие,"враждебность, недоброхотство, недружелюбие, неприязнь"
дружелюбно,враждебно
дружелюбность,недружелюбие
дружелюбный,враждебный
дружески,"враждебно, вражески"
дружеский,"вражеский, враждебный, неприятельский, противный"
дружественно,"враждебно, антагонистично"
дружественность,"враждебность, антагонистичность, недружелюбие, рознь"
дружественный,"враждебный, захватнический, неприятельский, враждебный, неприятельский, захватнический"
дружить,враждовать
дружный,враждебный
дряхлеть,"возрождаться, молодеть"
дряхлость,юность
дуальный,единообразный
думать,опровергать
дурак,"мудрец, умный, умник, умница"
дурацкий,умный
дурнеть,хорошеть
дурно,хорошо
дурной,"хороший, добрый, доброжелательный, полезный, положительный"
дух,"плоть, тело, тело"
духовность,бездуховность
духовный,"вещественный, внешний, материальный, светский, плотский, физический"
душа,"плоть, тело"
душевно,телесно
душевный,"внешний, телесный"
единение,"распадение, рассеивание, разобщенность"
единичный,"коллективный, кооперированный, множественный, повальный, повторный, поголовный, постоянный"
единобожие,многобожие
единобрачие,"полигамия, полигиния"
единобрачный,полигамный
единовременный,многоразовый
единомышленник,противник
единообразие,"гетерогенность, неоднородность, противоречивость, разноречивость, разнородность, разнохарактерность"
единообразный,"дуальный, многообразный, противоречивый, разноречивый"
единственность,многозначность
единый,"раздельный, разнообразный, разрывный, разъемный"
емкий,невместительный
ералаш,порядок
естественно,"искусственно, противоестественно, неестественно, необычно"
естественность,"неестественность, противоестественность, искусственность, аномалия, ненормальность"
естественный,"искусственный, неестественный, противоестественный, анормальный, ненатуральный, ненормальный, поддельный, искусственный, напряженный"
есть,"нет, нету"
еще,уже
жадина,щедрый человек
жадность,бескорыстие
жадный,бескорыстный
жалкий,"великий, грандиозный, царственный"
жаловать,получать
жалость,"равнодушие, безжалостность"
жар,"прохлада, холод"
жара,"мороз, стужа, холод, прохлада"
жаркий,"морозный, прохладный, холодный, студеный, студёный, ледяной"
жарко,"морозно, холодно, прохладно, студёно"
жатва,"засев, посев, посевная, сев"
жать,"засевать, сеять"
жгучесть,"неактуальность, несовременность, старомодность"
жгучий,ледяной
желательно,нежелательно
желательный,ненужный
железный,податливый
женатый,"неженатый, холостой"
женить,разводить
женитьба,развод
жениться,"разводиться, разжениться, развестись"
женский,мужской
женственность,мужественность
женственный,мужественный
женщина,мужчина
жесткий,"мягкий, гибкий, деликатный, ковкий, пластичный, податливый, упругий, эластичный, мягкий, деликатный, ковкий, пластичный, эластичный, податливый, гибкий, упругий, мягкий"
жёсткий,"мягкий, гибкий, деликатный, ковкий, пластичный, податливый, упругий, эластичный, мягкий, деликатный, ковкий, пластичный, эластичный, податливый, гибкий, упругий, мягкий"
жестко,"мягко, нерешительно"
жесткость,"мягкость, гибкость, ковкость, вязкость, упругость, эластичность, неустойчивость"
жестокий,"гуманный, добрый, милосердный, человечный, добрый, гуманный, милосердный, человечный"
жестоко,"гуманно, милосердно"
жестокость,"милосердие, доброта, гуманность, гуманизм, человеколюбие"
жечь,леденить
живой,"убитый, павший, неживой, могильный, застойный, расслабленный, увядший, вялый, безжизненный, пассивный, погибший, мёртвый"
живописный,уродливый
животрепещущий,"незлободневный, несовременный, обыденный, старомодный"
живучесть,"недолговечность, неустойчивость"
жидкий,"густой, неразбавленный"
жидко,густо
жизненность,"неактуальность, несовременность, старомодность, утопичность, химеричность"
жизнерадостный,тяжелый
жизнестойкость,недолговечность
жизнетворный,"смертельный, смертоносный"
жизнь,"мертвечина, смерть"
жилец,хозяин
жилица,хозяйка
жирант,"индоссат, индоссатор"
жират,индоссант
жиреть,худеть
жирность,худоба
жирный,"худой, худощавый, поджарый, постный, тонкий"
житейский,"неординарный, праздничный"
жить,"умирать, помирать, отсутствовать"
жульнический,"порядочный, честный"
жульничество,"порядочность, честность"
за,"перед, передо, против"
забавный,грустный
забвенный,"незабвенный, незабываемый, неизгладимый"
забирать,вручать
заблаговременно,после
заблокировать,деблокировать
заблуждение,"истина, правда, точность"
заболевание,выздоровление
заболевать,"поправляться, излечиваться, выздоравливать"
заболеть,"выздороветь, излечиться, поправиться"
забота,"пренебрежение, равнодушие"
заботливый,"отстраненный, безразличный"
забраковывать,принимать
забрасывание,выбрасывание
забрать,вручить
забываемый,достопамятный
забывание,"запечатление, фиксация"
забывать,"вспоминать, помнить, припоминать, хранить, запоминать"
забываться,"просыпаться, вспоминаться, помниться, припоминаться"
забывчивость,памятливость
забыть,"запомнить, вспомнить, припомнить"
забыться,"проснуться, вспомниться, запомниться, припомниться"
заведение,демпфирование
заведовать,подчиняться
заведующий,подчиненный
завербоваться,рассчитаться
завернуть,развернуть
завёртывать,"развёртывать, разворачивать"
завершаемый,продолжаемый
завершать,"затевать, начать, начинать, приниматься, приняться, приняться, приступить, приступить, предшествовать"
завершаться,"возникать, наставать, наступать, наступать, возникать, наставать"
завершающий,"начальный, открывающий, отправной, первичный, первоначальный, пусковой, стартовый, начальный, открывающий, первоначальный, стартовый, отправной, первичный, пусковой"
завершающийся,возникающий
завершение,"начало, открытие"
завершенность,"незавершенность, односторонность"
завершенный,"незавершенный, фрагментарный, недоконченный"
завершить,"взяться, затеять, начать, приняться, приступить"
завершиться,"возникнуть, начаться, прийти"
завести,"ликвидировать, потерять"
завивать,развивать
завинтить,отвинтить
завинчивать,отвинчивать
зависимо,"независимо, самостоятельно"
зависимость,"автономия, локализация, независимость, свобода, суверенитет"
зависимый,"независимый, самостоятельный"
зависящий,автономный
завить,развить
завладевать,"освобождать, отдавать"
завладеть,освободить
заводить,"ликвидировать, терять, выводить"
завоевание,освобождение
завоевательный,мирный
завоевать,"освободить, потерять, проиграть"
завоевывать,"освобождать, освобождать, отвоёвывать"
завоёвывать,"освобождать, освобождать, отвоёвывать"
завозить,отвозить
завораживать,"расколдовать, расколдовывать"
заворачивать,"развертывать, разворачивать"
завтра,"сегодня, вчера, нынче"
завтрашний,"сегодняшний, вчерашний"
завысить,занизить
завышать,занижать
завышение,занижение
завядать,расцветать
завязать,"развязать, оборвать, порвать"
завязка,развязка
завязывать,"развязывать, обрывать, освобождать, порывать, прекращать, прерывать, распутывать"
завязываться,исчезать
завянуть,расцвести
загадать,"отгадать, разгадать"
загадка,"отгадка, разгадка"
загадывание,отгадывание
загадывать,"отгадывать, разгадывать, разбирать, распутывать, расшифровать"
загасить,воспламенить
заглаживать,усиливать
заглушать,"возбуждать, повышать, подбивать, подговаривать, подзадоривать, подучивать, порождать, провоцировать, рождать, усиливать, возбуждать, подговаривать, подзадоривать, повышать, подбивать, усиливать, рождать, подучивать, порождать, провоцировать, подзадоривать, повышать, подбивать, подговаривать, возбуждать, подучивать, порождать, провоцировать, рождать, усиливать"
заглушаться,"являться, возникать"
заглушающийся,возникающий
заглушенный,"шумный, громкий"
заглушить,"возбудить, всколыхнуть, вызвать, породить"
загнивание,"подъем, развитие, расширение"
загнивающий,"преуспевающий, развивающийся"
заговаривать,замолкать
заговорить,"замолкнуть, замолчать"
загонять,выгонять
загораться,"угасать, тухнуть, погасать, потухать, затухать, гаснуть, утихать"
загорелый,бледный
загореться,"потухнуть, угаснуть, погаснуть, затухнуть, утихнуть"
заготавливать,тратить
заготовить,потратить
заготовлять,тратить
заграничный,"внутренний, местный, отечественный"
загрустить,обрадоваться
загрязнение,"очистка, обеззараживание, рафинирование, стерилизация, очищение"
загрязненный,"чистый, рафинированный"
загрязнить,"почистить, вычистить, отчистить"
загрязнять,"обеззараживать, очищать, расчищать, чистить"
загубить,спасти
загустеть,разжидиться
зад,перед
задвигать,"выдвигать, выпячивать, высовывать, выставлять"
задержанный,ускоренный
задержать,"ускорить, освободить, освободить из-под стражи"
задержаться,"опередить, убыстрить, ускориться"
задерживание,ускорение
задерживать,"ускорять, возобновлять, помогать, способствовать, убыстрять, освободить из-под стражи, освобождать из-под стражи, ускорять, возобновлять, освободить из-под стражи, освобождать из-под стражи, помогать, способствовать, убыстрять, ускорять, помогать, возобновлять, убыстрять, освободить из-под стражи, освобождать из-под стражи, способствовать, ускорять, помогать, способствовать, убыстрять, возобновлять, освобождать из-под стражи, освободить из-под стражи"
задерживаться,"предварять, ускоряться, опережать, ускоряться, опережать, предварять"
задерживающий,"разрешающий, усиливающий"
задержка,"возобновление, разрешение, спешность, ускорение"
задний,"передний, головной"
задождить,разведриться
задок,передок
задолго,"вскоре, незадолго"
задремать,проснуться
заезженный,оригинальный
заем,"взнос, вклад, капитальное вложение, депозит, пожертвование"
зажечь,"погасить, потушить"
зажечься,"потухнуть, погаснуть, затихнуть, стихнуть, утихнуть"
зажигание,подавление
зажигать,"гасить, тушить, охлаждать"
зажигаться,"потухать, погасать, тухнуть, гаснуть, охлаждаться, охлаждать, затихать, стихать, утихать"
зажимать,размыкать
зажиточность,"бедность, недостаток, нищета, нужда, скудость, убожество"
зажмуривать,открывать
зазор,"заполненный чем-либо участок, заполненное чем-либо место"
зазорный,похвальный
заинтересованность,"апатия, безразличие, индифферентность, невнимательность, равнодушие"
заинтересованный,"безразличный, равнодушный"
займы,"вклады, инвестиции"
зайти,"взойти, выйти"
закабаление,освобождение
закабаленный,свободный
закабалить,"выпустить, освободить, отпустить"
закабалять,"выпускать, отпускать"
закабаляться,освобождаться
заказывать,дозволять
закаленность,неустойчивость
закалка,неустойчивость
закамуфлированный,открытый
заканчивать,"начинать, возбуждать, запускать, приступать, стартовать"
заканчиваться,"начинаться, начинать"
закат,"рассвет, восток, утренняя заря, восход"
закатать,раскатать
закатиться,взойти
закатывать,раскатывать
закатываться,"всходить, восходить"
заклиниваться,работать
заключать,"освобождать, расторгать"
заключаться,расторгаться
заключение,"начало, освобождение, открытие"
заключенный,надзиратель
заключительный,"вступительный, исходный, начальный, первый, первичный, первоначальный, пусковой, ранний, стартовый"
закодировать,"декодировать, расшифровать, расшифровывать"
заколдовывать,расколдовать
закон,беззаконие
законно,"беззаконно, противозаконно, незаконно"
законнорожденный,внебрачный
законность,"незаконность, беззаконность, противозаконность, нелегальность, противоправность, неуместность, беззаконие, произвол"
законный,"беззаконный, незаконный, противозаконный, противоправный, преступный, нелегальный, криминальный, запрещённый"
закономерность,"случайность, случай, эпизод"
закономерный,случайный
законченный,"незаконченный, начальный"
закончить,"начать, начинать"
закончиться,"начаться, настать, начать, установиться, явиться"
закоснелость,"динамизм, развитие"
закостенелость,"податливость, покладистость"
закрепить,"ослабить, расшатать"
закрепиться,"ослабиться, ослабнуть"
закрепление,ослабление
закрепленный,"непрочный, шаткий, мобильный, незакрепленный"
закреплять,"ослаблять, расшатывать"
закрепляться,"ослабевать, ослабляться"
закрепостить,освободить
закрепощаться,освобождаться
закрепощение,освобождение
закругленный,прямой
закрутить,раскрутить
закрученный,раскрученный
закручивать,"откручивать, раскручивать"
закрывать,"открывать, раскрывать, распечатывать, растворять, отворять, распахивать"
закрываться,"открываться, выявляться, обнаруживаться, вскрываться"
закрытие,"начало, открытие"
закрытый,открытый
закрыть,"открыть, раскрыть, распечатать"
закрыться,открыться
закупать,"отпускать, продавать, реализовывать, сбывать, торговать, продать"
закупаться,реализовываться
закупить,"отпустить, продать, реализовать"
закупка,"отпуск, продажа, реализация, сбыт, торговля, продажа товаров"
залежалый,свежий
залезать,вылезать
замалчивать,рассекречивать
заманчивый,отталкивающий
заминка,"возобновление, поспешность"
замкнуто,общительно
замкнутость,общительность
замкнутый,"общительный, незамкнутый, общительный, открытый, разомкнутый, соединенный, незамкнутый, общительный, разомкнутый, соединенный, открытый"
замолкать,"заговаривать, возобновляться"
замолкнуть,заговорить
замолчать,"заговорить, прозвучать"
замораживатель,дефростер
замораживать,"нагревать, плавить, расплавлять, размораживать, оттаивать"
замороженный,размороженный
заморозки,оттепель
замыкание,"отключение, размыкание, разъединение"
замыкать,"размыкать, удлинять, отмыкать"
замыкаться,размыкаться
замысловато,просто
замысловатость,простота
замысловатый,простой
занепогодиться,распогодиться
занести,вычеркнуть
занижать,"завышать, преувеличивать"
занижаться,преувеличиваться
занижение,"завышение, преувеличение"
занизить,"завысить, преувеличить"
заново,ни разу
заносить,выписывать
заноситься,вычеркиваться
занудный,"интересный, увлекательный"
занятие,безделье
занятый,"вакантный, незанятый, пустой, незамещенный, свободный, нерезервированный, порожний"
занять,"дать, возвратить"
заострение,рассеивание
заостренный,тупой
заострять,"ослаблять, притуплять"
заочно,"лично, в лицо"
запад,"восток, восход"
западнее,восточнее
западный,восточный
запаздывание,"убыстрение, ускорение"
запаздывать,"опережать, убыстрять, ускоряться"
запаивать,открывать
запаковывать,распаковывать
запамятовать,вспомнить
запасание,растрата
запасать,"расходовать, тратить"
запасной,главный
запасный,главный
запасти,потратить
запатентованный,"беспатентный, незапатентованный"
запачканный,чистый
запачкать,"вычистить, начистить, отчистить, почистить"
запереть,отпереть
запечатление,забывание
запечатывать,распечатывать
запирание,отпирание
запирать,"отпирать, открывать, разблокировать, раскрывать, распахивать, отмыкать"
запираться,"отпираться, открываться"
записать,"выписать, вычеркнуть"
записывать,выписывать
записываться,"выписываться, вычеркиваться"
заплакать,"засмеяться, захохотать"
заплести,расплести
заплетать,расплетать
заплетаться,расплетаться
запоздалый,ранний
заполненный,"чистый, незанятый, незаполненный, пустой, свободный"
заполнить,опустошить
заполниться,опустеть
заполнять,"выбирать, опустошать, освобождать"
заполонить,"опустошить, освободить"
заполониться,опустеть
заполонять,освобождать
запоминать,забывать
запоминаться,забываться
запомнить,забыть
запомниться,забыться
запрет,"разрешение, согласие, позволение, санкция"
запретительный,разрешительный
запретить,"позволить, разрешить, дозволить, одобрять, разрешать, санкционировать, уполномочивать, утверждать, разрешить, позволить, утверждать, одобрять, дозволить, санкционировать, разрешать, уполномочивать"
запретный,"разрешённый, дозволенный, дозволительный, допустимый, позволительный, санкционированный"
запрещается,"разрешается, позволительно, позволяется, разрешено, позволено"
запрещать,"разрешать, позволять, допускать, признавать, разжигать, дозволять, уполномочивать, утверждать, санкционировать"
запрещаться,разрешаться
запрещающий,"способствующий, развивающий"
запрещение,"позволение, разрешение, допущение, одобрение, санкция, согласие, дозволение"
запрещённый,"официальный, дозволенный, законный, утверждённый, разрешённый"
запрещено,"позволено, позволительно, позволяется, разрешается, разрешено"
запрудить,освободить
запруживать,"опустошать, освобождать"
запрягать,распрягать
запрятываться,обнаруживаться
запускать,заканчивать
запутанный,"несложный, примитивный, простой, легкий, тривиальный, нетрудный"
запутать,"объяснить, пояснить, истолковать, распутать"
запутаться,"выкрутиться, распутаться"
запутывать,"прояснять, приводить в порядок, делать явным"
запутываться,проясняться
запятнанный,"незапятнанный, святой, чистый"
зарабатывать,"расходовать, тратить"
заработок,расход
зареветь,"засмеяться, захохотать"
зародить,затушить
зарождать,"тушить, уничтожать"
зарождаться,"погибать, прятаться, разлагаться, разрушаться"
зарождающийся,оканчивающийся
зарождение,"конец, окончание, падение, смерть"
зарубежный,"внутренний, местный"
зарыдать,"засмеяться, захохотать"
заря,закат
заряжать,разряжать
засасывать,выделять
засветло,затемно
засвидетельствовать,опровергнуть
засев,жатва
засевать,"жать, пожинать плоды"
засеивать,пожинать плоды
засекреченный,"доступный, открытый"
заселение,выдворение
заселенный,необитаемый
заселять,"выдворяться, пустовать"
заслонять,принижать
заслуженно,незаслуженно
заслуженный,"напрасный, незаслуженный, неправый, неправедный, несправедливый"
заслуживающий,дешевый
заслужить,потерять
заслушивать,недослушивать
засмеяться,"заплакать, зареветь, зарыдать"
заснуть,"очнуться, пробудиться, проснуться"
засовывать,высовывать
засохший,влажный
заставить,подчиниться
заставлять,подчиняться
застёгивать,расстёгивать
застегнуть,расстегнуть
застенчивость,"открытость, открытость характера"
застой,"видоизменение, модификация, прогресс, расцвет, рост, быстрое развитие"
застойный,"активный, живой"
застопорить,ускорить
застопориться,ускориться
застраховаться,погибнуть
застраховывать,подвергаться риску
застраховываться,подвергать риску
застревать,работать
заступить,оставить
застывание,таяние
застывать,"разжижаться, таять"
засуха,"паводок, сырость, подъем воды"
засушливо,"влажно, сыро"
засушливый,влажный
засыпать,"пробуждаться, просыпаться"
затаенный,"гласный, открытый"
затаиться,"представиться, явиться"
затасканный,оригинальный
затвердевать,разжижаться
затворить,отворить
затвориться,отвориться
затевать,завершать
затейливо,просто
затейливость,простота
затейливый,простой
затемнение,освещение
затемниться,"обрисоваться, означиться, очертиться"
затемнять,"освещать, прояснять, высвечивать, упрощать, прояснять, освещать, упрощать, высвечивать"
затемняться,"обрисовываться, очерчиваться, очерчиваться, обрисовываться"
затемняющийся,светящийся
затенять,освещать
затерять,"найти, обрести, отыскать, разыскать, сыскать"
затеять,завершить
затихать,"возобновляться, зажигаться, начинаться, оживлять, разгораться, шуметь"
затихнуть,"возобновиться, донестись, зажечься, зашуметь, начаться, прозвучать, разгореться"
затишье,шум
затмевать,высвечивать
затормаживать,"убыстрять, ускорять, растормаживать"
затормаживаться,"ускоряться, растормаживаться"
заторможенность,"бойкость, быстрота, проворство, резвость, скорость, стремительность"
заторможенный,"непоседливый, бойкий, оживленный, энергичный, деятельный, инициативный, активный"
затормозить,"возбудить, возбудиться, пробудиться, разрешить, ускорить, форсировать"
затормозиться,ускориться
заточение,освобождение
затрата,"доход, накопление, сбережение"
затраты,прибыль
затраченный,сбереженный
затрачивать,накоплять
затруднение,легкость
затруднительный,удачливый
затруднить,"облегчить, разрешить"
затруднять,"облегчать, помогать, прояснять, способствовать"
затрудняться,проясняться
затуманивать,делать явным
затухание,"вспышка, подъем, разжигание"
затухать,"вспыхивать, загораться, возникать, загораться, вспыхивать, возникать"
затухающий,разгорающийся
затухнуть,"загореться, вспыхнуть"
затушить,зародить
затхлый,свежий
затыкать,открывать
затягивание,ускорение
затягивать,"укорачивать, уменьшать, ускорять"
затягиваться,"укорачиваться, уменьшаться"
затяжной,короткий
затянуть,"сократить, уменьшить"
затянуться,уменьшиться
заурядность,"недюжинность, неестественность, незаурядность, необыкновенность, противоестественность, своеобразие, феноменальность"
заурядный,"оригинальный, необычный, исключительный, незаурядный, чрезвычайный"
зафиксировать,"ослабить, расшатать"
зафиксироваться,"ослабиться, ослабнуть"
захварывать,выздоравливать
захват,поражение
захватить,"выпустить, освободить, упустить"
захватнический,"дружественный, мирный, миролюбивый, оградительный, охранительный"
захватывание,"высвобождение, раскрепощение"
захватывать,"выпускать, освобождать, упускать"
заход,"восход, восток"
заходить,"восходить, всходить, взбираться, подниматься"
захохотать,"заплакать, зареветь, зарыдать"
зацвести,"отцвести, отцвести"
зацветать,отцветать
зацеплять,отцеплять
зацепляться,отцепляться
зачаровывать,расколдовывать
зачеркивать,"наносить, проводить"
зачин,окончание
зачисление,"исключение, увольнение, уход"
зачислить,"вывести, освободить, отстранить, отчислить, сместить, уволить"
зачислиться,"отчислиться, уйти"
зачислять,"освобождать, смещать, снимать, увольнять"
зачисляться,"увольняться, уходить"
зашифрованный,декодированный
зашифровать,"дешифровать, разбирать, разгадывать, раскодировать, распутывать, расшифровать, расшифровывать"
